community_id,n_channels,n_edges,internal_weight,representative_channels
10,57,206,96.0851,わくわくクイズひろば / たこちゃんねる / あしざるFC / ファンランド / 小麦アレルギー / 光ショーツ / にっこりレモン🍋 / らゆまPRINCE👑🍌
11,48,180,96.1625,どれ / NATSU  TAROT / ルアナママンのカードリーディング / MyButterfly / satori×bona blanc / 立花れいこl愛活 channel / houseタロット / milky Card therapy
12,18,32,16.6376,村田親子 / 田中英義 Hideyoshi Tanaka / Sasurai Surf TV / 大原洋人Channel / プロサーファー河村カイサ / Yugo Kawabata / NANBAN / SaltwaterTV
13,11,28,26.6593,"スペーレンスキーTV / すまはちサロン / SnowHub / Filip Chwistek (ski-world) / Zero1channel / TJMスキーちゃんねる / Courage, Hope, and Challenge for the Middle-Aged / Takehiro SKI Channel"
14,10,12,5.6005,コンコック / ドロピザ 【Drop the Pizza】 / Another Blue 【3代目ワンピース知識王】 / スーパーカミキカンデ【ONE PIECEが大好きな神木】 / もっちー / コーキ タコヤキ 大阪 / ドロヌマ【Drop the 沼】 / 近藤豪 / 職人として生きる
15,9,10,5.5558,Jacob Koller / The Mad Arranger (Jacob Koller) / SHUMPEI PIANO CHANNEL / Dietmar Steinhauer / Yomii Piano よみぃ / Haruna Pianist / Mr.Forte / pianist MAI MORIMOTO / ピアノフォルテ / pf channel
16,8,13,7.4977,"しゅんぽーかー / ヨコサワポーカーチャンネル / Jaysol / Masato ""World Wide"" Yokosawa - Poker - / ポーカーの沼 / 普段のヨコサワ / VAMOS POKER【バモスポーカー】 / カジノちゃんねる"
17,7,8,5.8051,オヌルド韓国語[오늘도 한국어] / トリリンガルのトミ【韓国語講座】 / ナチュラル韓国語 Natural Korean / Joo [korean Learning channel] / でき韓 韓国語講座_パク先生 박센세 / おしゃべり韓国語 / いんぎんのハングル広場
19,5,6,5.0369,You can learn by fishing. / K's fishing channel / RAD FISHING/高橋優介 / TSURIHACK TV / 悪食プリンセス グラトニーヌ 
18,5,4,2.4623,KEIJU / STUTS / AOTL Official / AKAZUCHI / KID FRESINO
21,4,6,6.0,鼻血どばどばスキーチャンネル　MrTatsyoda / shenbob / Deb Armstrong / MURAKIN SKIING
20,4,3,1.0238,引き寄せ科学者 / とー / 世界のドコかでひきこもり / あたるぞう / FOG's Tutorial Channel for DaVinci Resolve
23,3,3,2.7775,NOVITEC  / Remove Before Race / AutoTopNL
22,3,3,2.6768,subaru B-faction / SUBARU On-Tube / Best Car Channel
24,3,2,1.5916,Pitbull / Pitbull / Flo Rida
26,3,2,1.2459,紅しょうがのバンザイちゃんねる / マユリカのプンカプンカ!【マユリカ公式チャンネル】 / 見取り図ディスカバリーチャンネル
27,3,2,1.0073,BODY DISCOVERY STUDIO / 梅ボーイズ / 異世界都市伝説
25,3,2,0.8507,Animal Planet Japan / こゆきchannel / えみこのおうち
28,2,1,1.0,茅野愛衣が日本酒を飲みながら食べるだけ「かやのみ」 kayano mi ch. / マミルトン
34,2,1,1.0,Chloe Ting / emi wong
37,2,1,1.0,DJ Snake / DJ Snake
39,2,1,1.0,物語の才能チャンネル / むつきシナリオライターちゃんねる
40,2,1,1.0,Hero Spirit / ヒトの本性診断【占い】
41,2,1,1.0,予言 / 予言と都市伝説
42,2,1,1.0,Jay Shetty Podcast / Alexis Ren
45,2,1,1.0,黒炭酸 / わらぶい
49,2,1,1.0,やみちゃんねる。 / びびろっく〜coming soon〜
44,2,1,0.9857,アンジェンテ【BLボイスコミックチャンネル】 / CIELフルールチャンネル【全話無料BLボイスコミック更新中】
47,2,1,0.9639,ProjectRin 投資FIREチャンネル / 仮想通貨王ウシジマ
43,2,1,0.9447,EVISBEATS / Chilly Source
36,2,1,0.9412,Bertram - Craft and Wilderness / 野あすわ
33,2,1,0.9361,2PM / 2PM Japan Official YouTube Channel
46,2,1,0.9177,Yuki Matsui / TEDtokyojapan
30,2,1,0.8595,at_every_age - former VALET / 【NISAお悩み研究所】いちばんやさしいNISA入門
48,2,1,0.8124,Loving president / 【住宅購入エージェント】水智崚〜Tokyo Residential Academy〜
38,2,1,0.7687,Shakira / Shakira
29,2,1,0.6707,EminemMusic / EminemMusic
31,2,1,0.539,姫神 Himekami / 姫神 Himekami
35,2,1,0.472,レモンチャンネル / 本音でレモン
32,2,1,0.2609,アムウェイ公式チャンネル / Uehara's Nutrition OFFICIAL CHANNEL
