channel_id,channel,community_id,sample_viewers,internal_strength
UCGEuBdhV9JanULYiAtd9rAQ,まいぺる | 1日1分で学べるパワポ・資料作成術,0,4,0.245618
UC6U7Z2d2MKL9G1tW6ry2Lgw,投資家エンタメストGiwa,0,3,0.244617
UC3c8PW1C5kJGbCRjFJoTDwA,ブチギレ氏原&サカモトの【GGチャンネル】,0,5,0.241937
UCARRXzT1owe5Z4d68V0vUdw,偉人エピソードX,0,7,0.238307
UCMdFdPJsBa6MrGC1AnLayjA,YUKI 【井添結琴】アメリカから配信,0,10,0.235919
UC-X-2ka2RqLtBYhY2FQowug,Fujinの部屋,0,7,0.233547
UC8IK363bd35lzYO7wXUlvRg,DIY道楽 テツ,0,6,0.229538
UC5fzhlCbtoirTvFj6-ZiK2A,りすこ🐿マッチングアプリ恋愛コンサル,0,4,0.209367
UCKN1x9HADB_rGluUs6y_SLw,地理の雑学ゆっくり解説,0,6,0.20691
UCGkxhoVGXHXxHx-TKkacb2Q,あにまるず Animals,0,6,0.206764
UCV2G7uXFvBq6XYrM5TDgfNA,Endoscope channel,0,6,0.202064
UCJEbpN7ovbrGvtQEQ0Qg6kg,まなびばLIVE,0,4,0.197936
UC7dY-mTZUa6jPlHEtdy4wJQ,耳鼻科医富田のいいみみCh,0,3,0.196457
UCRWsPC7Tf_E4XjcMPe4EKlQ,角由紀子のヤバイ帝国,0,4,0.195562
UCPNd7xHDFhsbGwL-bqwQKMQ,S&P500最強伝説,0,8,0.195098
UC-PXSwUfdJzv1inNkanNIbA,行政書士長島のナガシマガジンTV-NagashiMagazine TV,0,4,0.193038
UC4YUA_Pnk2TfihuuauGzjPw,りょう校長のお金と時間の学校,0,11,0.189415
UC4v0hpO933h8cdjemR-q7gQ,株式会社ぷ(街録ch運営),0,7,0.186712
UC5k1lqa8EoA83AJW5FKHmWg,米国内科専門医 安川康介の医学チャンネル,0,20,0.186534
UC3gIFrMEpEMhDziMRoNBIDg,みんなのＦＸ｜トレイダーズ証券,0,7,0.186505
UC77fE-CthS26aesRDL6PMqA,都市伝説の部屋,0,5,0.186021
UC49K1-mmgbAhYVL1fWGNsAw,限りなき繁栄,0,10,0.185104
UC6dvyIhDcHROKLuNaQyRk7g,みんなの無添加研究所,0,6,0.18502
UC0elp2101KAxbaAMzInGerA,KIRITANPO,0,9,0.184882
UCBD4RO82lle5CyB_M9dtwzw,PROWRESTLING SHIBATAR ZZ,0,5,0.184284
UC2huW0H1iT3GVH2bd8ii9Yw,こぐましゃちょー,0,4,0.184019
UCE_M8A5yxnLfW0KghEeajjw,Apple,0,4,0.183685
UCLsdm7nCJCVTWSid7G_f0Pg,ABEMA【アベマ】公式,0,6,0.183513
UC6mbbiP0fzB0wWLNfioiOeQ,ミステリー劇場,0,12,0.183102
UC3REAzTrfFQmFmkx5c_UfuA,鈴木けんぞう,0,3,0.182152
UCECF9yRiWFmHywTSUiPIeaA,Simple Men's Care,0,5,0.180917
UCNsidkYpIAQ4QaufptQBPHQ,ウェザーニュース,0,5,0.178574
UCJhFv3A2dYQNwUgEAn6WPJw,世界見聞録,0,7,0.174905
UC2Xn_1DDZJaaEtpPwh-qJtw,さよなら婚活チャンネル,0,4,0.17451
UCBls5vQWbi3iedkMy5Pv3GQ,コットンきょんの人間観察ちゃんねる,0,6,0.174443
UC91qteXE1f8puKS8lEBRUhw,サマー先生と英会話！,0,15,0.171775
UC37j5pBY-mw3QoCMEdomE2g,⭐︎金母kinkaはぴねすちゃんねる358⭐︎,0,6,0.171281
UC9Q4r9A7tyivDJDqacdX2Ig,★しゅん / WEB3,0,4,0.171084
UC5X3kJorIx55tOJQ9283tkg,公式 池上彰と増田ユリヤのYouTube学園,0,10,0.169816
UC8QheEuZR6-D_FG2ElItg4A,sakana,0,4,0.169232
UCBAIZr7BislZ-qqy9iqCDNA,シリコンバレー起業家の哲学【AI時代のビジネス教養】,0,6,0.168129
UCHi5HD9w9B-gI6Lbx43Rs7A,川口春奈オフィシャル はーちゃんねる,0,5,0.167064
UC09o0gfx7MdL4EKkG_r1FMQ,うわさのゆっくり解説【さぶ】,0,8,0.167018
UCIR8bP-MIXHwTPkUjcnjBCw,今古賀翔【トレーニング科学】,0,10,0.164942
UCE8qPb4i2vMjLlnRHJXmL1w,『表現者クライテリオン』チャンネル,0,8,0.162591
UCZ3aNA6C5VxBi_b_SV_XAxA,Life Changing School,0,9,0.162411
UCNlA_JiwrTZ1NxsryTRc_pg,ユダヤの伝道師　ゆだしん,0,5,0.162323
UC3d5tppwxYrOtv8fP8jk7nA,藤田ニコル⭐️NICOLE FUJITA,0,4,0.161628
UCFQEO_c41E-8VtQTSX7rKMw,おさるマーケ講座受講生対談,0,6,0.161441
UCBkVbgLgVZ473QViK_dtMyw,ポレポレDIYチャンネル,0,13,0.161387
UC2IqcWpl7Hs_NKrCFVQ_TrQ,シンガポール投資家KAZ,0,5,0.160874
UC-3TbnHMwGVKvENnYgVhVmA,賢者の言魂,0,15,0.159731
UC6LjoShjVTW0Y7RPHIUnyvw,JPN English,0,8,0.159518
UC3McPdkyidCBzdV_XbQu-4w,ひろぬけ【ひろゆき切り抜き】,0,5,0.1583
UC3D6ZIuBbLNZri9VztaZTiA,AOGASHIMA Channel,0,9,0.157754
UCt_XAT1S9YQAhARMyMnXCzg,Paranoize Official ,0,4,0.157157
UCAOAbjfqAkobEhB8kKgp1wQ,MAニュース【公認】,0,3,0.156617
UC0pHUMEOtul5NlaT-Rt-34w,ゲスの極み乙女 Official YouTube Channel,0,5,0.156233
UCJINANTSM0FbvzuJpFyJfjg,武井壮百獣の王国,0,5,0.155287
UC4ZkIWuPJJsA3-GWcslvaow,長門政和 Nagato Masakazu,0,10,0.154701
UC0UJ2ZphiSp-ye0mxM_MIwQ,Grow Mind,0,7,0.152533
UCJIdacp_G-lLdYYrKXWCH6w,food_info_recipe,0,3,0.151533
UCF7IKesFOYQb34uzNiuNDqQ,KYOKO先生のビジネス学園,0,8,0.15148
UCKnAJC2VKxQeNXJJRKUQViw,勝 友美-VICTORY CHANNEL-,0,11,0.150818
UCFBo8mq8czEPE_Z4ePW0JTQ,Podcast Studio Chronicle,0,4,0.149278
UCG7FPicHPJXg6romhe0t92g,小次郎講師チャンネル,0,5,0.148634
UC7P3bmkbTdAXaJYzhuF2obA,平岡 雄太 / Yuta Hiraoka,0,10,0.147825
UC3m9tdQ8yaq-QT6YjBmZO6A,MOUNTAIN & FLY by Backcountry,0,5,0.147679
UC3AGP8tjXzAefnKzgxLspQQ,不滅の偉人〜魂の継承〜,0,18,0.146604
UC7zx7uOmqXsD153rPSUvxcg,数学・英語のトリセツ!,0,6,0.14659
UC3k3RSFHemW5qjtp-X1TGZg,岡野あつこ®【離婚・修復】解決チャンネル,0,8,0.146175
UCEz6Z7EgtSi-rPes-SIKJEg,official令和ロマン【公式】,0,5,0.145922
UCXVErXFv_fzdIMjFpkIXHtg,まめたまの筋トレ日記,0,5,0.145775
UC39k3ok2M6ewPaA-IKEfazQ,よなたんの斬れる英語道場,0,10,0.144601
UC19k_7hqCBqCPupBlAPKOvw,ミルキの事件語り,0,5,0.144457
UCBE4xAbWESF5ofPzS9eLhgg,HeartStation365,0,5,0.14438
UCNhplGFoeT_ylmw0MNP_LqA,NIJIIRO ZAMURAI,0,5,0.144273
UC0cpUGlqr4YlEmRG7543dEg,ぎこちゃん / GIKOCHAN,0,6,0.143575
UCEbisyY58j2x1DY2Oth7WyA,にっぽん政治の実況中継,0,3,0.143219
UC8UXXTaoP6Xf-zGRLf0R46w,ワタナベカズマサ,0,9,0.143171
UCBA9uUGktmChypQe1Yb4TYw,イタリアガイドみめMime Italy Guide,0,7,0.142383
UC7m7oo-Xkm4yKUhXchMK8CQ,Take AFTF55,0,7,0.141676
UC4GnqL6CD46ojljTcz_ElkA,ザ・ホワイトデンタルクリニック 【熟睡歯科治療専門の歯医者】,0,5,0.14159
UCCD76tKlE45u1YTX0cVh1OQ,Appleが大好きなんだよ,0,6,0.140995
UCLrRs5masRm4u8YaLLXU3zQ,Floating Stories,0,8,0.140994
UCNTxclE0N4qsUuirssL_D8w,Shin Coding Tutorial,0,4,0.140371
UCFkVVgEo5E2Gk79Ah8uM7kw,【休止】Zeppy投資ちゃんねる,0,10,0.140061
UC6QDphhNjXCdwTN8UeVXZRg,縁結び占い師E先生,0,12,0.138615
UCPcDzdFvEc5fQwT2n4SXnqg,Ryuの自己管理室,0,9,0.138459
UC6rrGfyEDLdIkNB-uQmR-pw,🐏Yurupechi🐏ダイエット,0,9,0.13697
UCGynN2H7DcNjpN7Qng4dZmg,上原浩治の雑談魂,0,6,0.136766
UC27e9lK-KS5EGvhx-DM0ShQ,定年前後の「お金の悩み」解消ラボ,0,11,0.136156
UC2i9z804rWVhZTiJq_juQDA,ワサビちゃんねる,0,5,0.135994
UC85dOBxevq0k18Zac8myquA,FIFI CHANNEL,0,13,0.13539
UC5MM7hQgMsCCObGa7PpTvZw,【復活】桜井野の花TV,0,4,0.135141
UC8XtvMtw4upzmugbL_MmEHg,松浦勝人【max matsuura】,0,8,0.134074
UCH5YwlO6r8O8miT1ryatYYQ,Bebechan - 日本のフランス人,0,8,0.132117
UCKudwfXQgNM7Gkjv95qRI9w,SEKAI NO OWARI,0,5,0.131633
UC2q0Lisd92TAnWJCPycUQDQ,DJぜふ,0,5,0.131338
UC6Tzn3v7aHfcBzMUTLAWoew,チーム ロンハー&アメトーーク!&テレビ千鳥,0,5,0.1313
